slug,name,academy_class,year_start,last_updated,website,birth_info
hanne-kroll,Hanne Kroll,http://www.klasse-doberauer.de/kroll_hannelore_%7C_klasse_doberauer.html,2007,2018-03-01,http://www.klasse-doberauer.de/kroll_hannelore_%7C_klasse_doberauer.html,
stefanie-hofer,Stefanie Hofer,Kneffel,2010,2018-02-15,http://www.stefaniehofer.de,
claudio-matthias-bertolini,Claudio Matthias Bertolini,Bustamante,2014,2018-02-15,http://www.etracker.com,
hana-kim,Hana Kim,Zeniuk,2010,2018-02-12,http://www.etracker.com,
theresa-scheitzenhammer,Theresa Scheitzenhammer,Brack,2009,2018-02-12,https://vimeo.com/201260793,
michael-schmidt,Michael Schmidt,Hien,2009,2018-02-11,http://www.etracker.com,
nora-endrich,Nora Endrich,Ingold,2012,2018-02-08,http://www.etracker.com,
xaver-scheffer,Xaver Scheffer,Dillemuth,2011,2018-02-05,http://www.etracker.com,
antonia-leitner,Antonia Leitner,Pitz,2012,2018-02-02,http://www.etracker.com,
nicolas-confais,Nicolas Confais,Wähner,2014,2018-01-29,http://www.nicolasconfais.com,
niko-abramidis,Niko Abramidis,Oehlen,2010,2018-01-18,http://www.nikoabramidis.eu,
nico-kiese,Nico Kiese,Prangenberg,2005,2018-01-12,http://www.etracker.com,
elke-dreier,Elke Dreier,Nicolai,2008,2018-01-12,http://elkedreier.de,
mikiko-fujita,Mikiko Fujita,Kneffel,2010,2018-01-07,http://mikikofujita.com,
antoinette-von-saurma,Antoinette von Saurma,Doberauer,2010,2017-12-23,http://www.etracker.com,
eva-schleippmann,Eva Schleippmann,Hien,2006,2017-12-22,http://www.sueddeutsche.de/bayern/kommunalwahl-mit-der-klobuerste-im-wahlkampf-1.1886521,
jessica-hodgkiss,Jessica Hodgkiss,Doberauer,2003,2017-12-19,http://www.etracker.com,
