slug,name,academy_class,year_start,last_updated,website,birth_info
ines-aufgebauer,Ines Aufgebauer,Ingold,2010,2017-11-21,http://www.etracker.com,
judith-adelmann,Judith Adelmann,Prangenberg,2013,2017-11-20,http://judithadelmann.com,
ralf-hannes,Ralf Hannes,Kneffel,2012,2017-11-15,http://www.ralfhannes.com,
hannah-mitterwallner,Hannah Mitterwallner,Wähner,2009,2017-10-30,http://www.etracker.com,
masha-novikov,Masha Novikov,Kneffel,2011,2017-10-16,http://www.etracker.com,
anja-buchheister,Anja Buchheister,Huber,2004,2017-10-03,http://karinwimmer.com,
constanze-penninger,Constanze Penninger,Matthias Wähner,2003,2017-10-03,http://vimeo.com/4314062,
martin-huber,Martin Huber,Pia Fries,2016,2017-09-24,http://www.klassefries.de/,
monika-humm,Monika Humm,Scully,2003,2017-09-17,http://www.monika-humm.de,
viola-relle,Viola Relle,Prangenberg,2012,2017-09-14,http://www.viola-relle.de,
lena-policzka,Lena Policzka,Wähner,2009,2017-09-06,http://www.lenapoliczka.com,
analia-martinez,Analía Martínez,Doberauer,2010,2017-08-28,http://www.etracker.com,
elena-carr,Elena Carr,Ingold,2011,2017-08-22,http://www.etracker.com,
katharina-knaus,Katharina Knaus,Ingold,2008,2017-08-22,http://www.etracker.com,
veronika-hilger,Veronika Hilger,Bustamante,2008,2017-07-23,http://www.etracker.com,
daniel-huss,Daniel Huss,Prangenberg,2011,2017-07-22,http://www.etracker.com,
mark-killian,Mark Killian,Bustamante,2013,2017-07-21,http://www.etracker.com,
anna-weidenhammer,Anna Weidenhammer,Bustamante,2012,2017-07-17,http://www.etracker.com,
julia-walk,Julia Walk,Kogler,2013,2017-07-16,http://www.etracker.com,
olga-wiedenhoeft,Olga Wiedenhoeft,Förg,2006,2017-07-11,http://www.olga-wiedenhoeft.de,
julian-arayapong,Julian Arayapong,Oehlen,2016,2017-07-11,http://www.etracker.com,
christine-liebich,Christine Liebich,Kasseböhmer,2010,2017-07-10,http://www.etracker.com,
lea-grebe,Lea Grebe,Kasseböhmer,2012,2017-07-07,http://www.leagrebe.de,
johannes-thum,Johannes Thum,Hien,2013,2017-07-06,http://theescortartist.com/,
katrin-katsch-blohmann,Katrin Katsch Blohmann,Ingold,2003,2017-06-25,http://www.etracker.com,
andreas-feist,Andreas Feist,Gerhart,2001,2017-06-11,http://www.etracker.com,
christian-jaramillo,Christian Jaramillo,Kasseböhmer,2006,2017-05-29,http://www.christianjaramillo.com,
diana-bobics,Diána Bóbics,Scully,2001,2017-05-29,http://www.bitlabrecords.com/cod/cod008.html,
lisa-gascoigne,Lisa Gascoigne,Scully,2004,2017-05-17,http://www.etracker.com,
florian-tenk,Florian Tenk,Rehm,2011,2017-05-03,http://www.retour.agency,
dorothea-reichenbacher,Dorothea Reichenbacher,Förg,2005,2017-05-03,http://www.etracker.com,
pernilla-henrikson,Pernilla Henrikson,Bustamante,2010,2017-04-19,http://pernillahenrikson.eu/index.html,
lea-stikkelorum,Lea Stikkelorum,Kogler,2009,2017-04-12,http://www.etracker.com,
julika-meyer,Julika Meyer,Schneider,2008,2017-03-28,http://www.julika-meyer.com/,
julia-klemm,Julia Klemm,Prangenberg,2010,2017-03-23,http://www.juliaklemm.de/,
maria-justus,Maria Justus,Bustamante,2010,2017-03-11,http://mariajustus.net,
heike-doescher,Heike Döscher,Förg,1996,2017-02-25,http://www.etracker.com,
sarah-lehnerer,Sarah Lehnerer,Huber,2009,2017-02-25,http://www.sarahlehnerer.de,
eunkyoung-jang,Eunkyoung Jang,Nicolai,2011,2017-02-24,http://www.etracker.com,
youjin-yi,Youjin Yi,Förg,2004,2017-02-20,http://www.etracker.com,
shin-bongchull,Shin Bongchull,Prangenberg,2011,2017-02-14,http://www.etracker.com,
suk-hyun-kim,Suk-hyun Kim,Förg,2010,2017-02-12,http://www.etracker.com,
katharina-korinth,Katharina Korinth,Innenarchitektur,2005,2017-02-08,http://www.etracker.com,
eva-schnitzer,Eva Schnitzer,Schottenloher,2005,2017-02-05,http://www.evaschnitzer.de,
lou-jaworski,Lou Jaworski,Schneider,2008,2017-02-04,http://loujaworski.com/,
christian-huebner,Christian Hübner,Zeniuk,1992,2016-12-20,http://www.christianhuebner.eu,
melanie-siegel,Melanie Siegel,Kneffel,2008,2016-12-15,http://www.melanie-siegel.de,
henriette-hufgard,Henriette Hufgard,Wähner,2011,2016-12-02,http://www.etracker.com,
thomas-silberhorn,Thomas Silberhorn,Huber,2008,2016-12-01,http://www.thomas-silberhorn.com,
asja-schubert,Asja Schubert,Rehm,2007,2016-11-27,http://www.etracker.com,
kerstin-ullsperger,Kerstin Ullsperger,Hien,2010,2016-11-20,http://www.etracker.com,
sylvia-langenbrinck,Sylvia Langenbrinck,Gerhart,2003,2016-11-13,http://www.etracker.com,
mohamed-al-kadri,Mohamed al Kadri,kasseböhmer,2011,2016-11-11,http://www.etracker.com,
jessica-kallage-goetze,Jessica Kallage-Götze,Prangenberg,2003,2016-09-23,http://www.jessica-kallage-goetze.com/news.html,
teresa-hoerl,Teresa Hörl,Ingold,2010,2016-09-20,https://vimeo.com/183338005,
hiba-al-ansari,Hiba Al Ansari,Gregor Schneider,2014,2016-08-31,http://www.etracker.com,
hanna-zwerger,Hanna Zwerger,Dengler,1996,2016-08-29,http://www.hanna-zwerger.de,
daniela-overbeck,Daniela Overbeck,Wähner,2010,2016-08-22,http://www.etracker.com,
jungmin-ma,Jungmin Ma,Huber,2014,2016-08-09,http://www.etracker.com,
sandra-hauser,Sandra Hauser,Huber,2006,2016-08-05,http://www.sandrahauser.org,
sabine-franczuszki,Sabine Franczuszki,Bustamante,2009,2016-08-01,http://www.etracker.com,
catalin-pislaru,Catalin Pislaru,Bustamante,2013,2016-07-29,http://www.catalinpislaru.eu/p3/index.php/,
nadja-zaengerlein,Nadja Zängerlein,Dillemuth,2010,2016-07-29,http://www.etracker.com,
gabi-blum,Gabi Blum,Huber,2008,2016-07-25,http://www.GABIBLUM.de,
julia-ferner,Julia Ferner,Doberauer,2011,2016-07-17,http://www.etracker.com,
young-in-son,Young-in Son,Oehlen,2009,2016-07-16,http://www.etracker.com,
joseph-cornelius,Joseph Cornelius,Kasseböhmer,2009,2016-07-11,http://www.josephcornelius.com,
steffen-kern,Steffen Kern,Kneffel,2010,2016-07-07,http://www.steffenkern.com,
martina-salzberger,Martina Salzberger,Kasseböhmer,1995,2016-06-27,http://www.martina-salzberger.de,
noemi-streber,Noemi Streber,Zeniuk,2010,2016-06-22,http://www.aaber.de/noemi-streber-nominiert-fur-den-aaber-award-2012/,
violetta-abate,Violetta Abate,Klaus vom Bruch,2009,2016-06-20,http://www.etracker.com,
nazli-alkaya,Nazli Alkaya,Norbert Pranganberg,2007,2016-06-15,http://nazlialkaya.com/,
yiy-zhang,Yiy Zhang,Schneider,2014,2016-06-07,http://www.etracker.com,
amelie-koeppel,Amelie Köppel,Doberauer,2012,2016-06-03,http://www.etracker.com,
dieter-schmidt,Dieter Schmidt,Rehm,2011,2016-05-08,http://www.etracker.com,
ivan-schmidt,Ivan Schmidt,Doberauer,2005,2016-04-27,http://www.ivanschmidt.de/,
max-zuzak,Max Zuzak,Prangenberg,2007,2016-04-27,http://www.etracker.com,
masayo-oda,Masayo Oda,Prangenberg,1998,2016-04-26,http://www.etracker.com,
daniel-door,Daniel Door,Ingold,2005,2016-04-19,http://www.etracker.com,
regine-rode,Regine Rode,Oehlen,2009,2016-04-16,http://www.reginerode.de,
pia-winkenstern,Pia Winkenstern,Kneffel,2010,2016-04-07,http://winkenstern.de,
ruth-effer,Ruth Effer,Schottenloher,1993,2016-04-06,http://www.etracker.com,
hsiao-shu-chen,Hsiao-Shu Chen,Prangenberg,2009,2016-04-02,http://www.etracker.com,
michaela-andrae,Michaela Andrae,Ingold,2012,2016-03-11,http://www.co-laborativ.net,
anina-stolz,Anina Stolz,Voigt,2007,2016-03-07,http://www.etracker.com,
grainne-mc-menamin,Grainne Mc Menamin,Matthias Wähner,2004,2016-02-19,http://www.etracker.com,
max-schranner,Max Schranner,Merz,2002,2016-02-17,http://www.maxschranner.de/,
juergen-boehm,Jürgen Böhm,Jetelova,2004,2016-02-16,http://www.juergen-boehm.de,
anna-carina-stolz,Anna-Carina Stolz,Zeniuk,2007,2016-01-12,http://www.etracker.com,
afshin-karimi-fard,Afshin Karimi Fard,Zeniuk,2010,2016-01-10,http://www.etracker.com,
paola-alvarado,Paola Alvarado,Kogler,2003,2016-01-07,http://www.etracker.com,
claudia-waldner,Claudia Waldner,Bruch,2005,2015-12-28,http://www.kunsthaus-zofingen.ch,
alina-grasmann,Alina Grasmann,Kneffel,2009,2015-12-21,http://www.kneffel.de/klasse/klasse_muenchen/alinagrasmann/start.html,
kamila-palubicka,Kamila Palubicka,Förg,2003,2015-12-16,http://www.etracker.com,
jessica-zaydan,Jessica Zaydan,Rehm,2009,2015-12-09,http://vimeo.com/16622026,
silvia-maradea,Silvia Maradea,Toffolutti,2002,2015-12-08,http://www.anhaltisches-theater.de/kaspar_haeuser_meer,
si-young,Si Young,Kasseböhmer,2000,2015-12-08,http://www.etracker.com,
carolin-cosima-oel,Carolin Cosima Oel,Bustamante,2009,2015-11-22,http://www.etracker.com,
janine-mackenroth,Janine Mackenroth,Kasseböhmer,2010,2015-10-27,http://www.etracker.com,
helmut-maier,Helmut Maier,Hien,2014,2015-10-26,http://www.etracker.com,
agnes-jaensch,Agnes Jänsch,Weizsäcker,2007,2015-10-19,http://www.etracker.com,
sara-chaparro,Sara Chaparro,Kogler,2013,2015-10-14,http://www.chaparrosara.com/,
ricarda-maurizio,Ricarda Maurizio,Dillemuth,2013,2015-10-12,http://www.etracker.com,
johanna-selge,Johanna Selge,Dillemuth,2009,2015-10-11,http://www.etracker.com,
felix-rodewaldt,Felix Rodewaldt,Kogler,2009,2015-10-06,http://rodewaldt.de,
saskia-zimmermann,Saskia Zimmermann,Förg,2009,2015-09-25,http://www.etracker.com,
chih-hung-kuo,Chih-Hung Kuo,Kneffel,2011,2015-09-10,http://www.flickr.com/photos/benjamintopf/,
kerstin-unseld,Kerstin Unseld,Schottenloher,2009,2015-08-31,http://www.etracker.com,
christian-probst,Christian Probst,Kneffel,2008,2015-08-30,http://maurohoracio.com/,
jangwoo-you,Jangwoo You,Schneider,2014,2015-08-24,http://www.etracker.com,
yeonsoo-kim,Yeonsoo Kim,Doberauer,2011,2015-08-07,http://www.etracker.com,
anja-bueld,Anja Büld,Toffolutti,2002,2015-08-07,http://www.etracker.com,
veronika-christine-draexler,Veronika Christine Dräxler,Bruch,2011,2015-07-30,http://veronikadraexler.de/,
florian-schaumberger,Florian Schaumberger,Bruch,2010,2015-07-29,http://www.florianschaumberger.de,
anne-pfeifer,Anne Pfeifer,Voigt,2012,2015-07-22,http://www.annepfeifer.com,
melanie-feigenbaum,Melanie Feigenbaum,Förg,2011,2015-07-17,http://www.etracker.com,
pedro-sequeira,Pedro Sequeira,Künzli,2001,2015-07-15,http://www.etracker.com,
jenny-forster,Jenny Forster,Kneffel,2008,2015-06-24,http://www.jenny-forster.de,
angela-stiegler,Angela Stiegler,Pitz,2007,2015-06-09,http://angelastiegler.de/,
yih-han-wu,Yih-Han Wu,Doberauer,2010,2015-05-08,http://www.etracker.com,
chionia-rothkegel,Chionia Rothkegel,Wähner,2011,2015-05-03,http://chionia-rothkegel.com,
florian-lechner,Florian Lechner,Pitz,2006,2015-04-09,http://www.florianlechner.eu,
irmi-wahl,Irmi Wahl,Ingold,2004,2015-04-06,http://www.etracker.com,
elena-koch,Elena Koch,Hien,2010,2015-03-18,http://www.etracker.com,
annamaria-leiste,Annamaria Leiste,Künzli,2010,2015-03-17,http://www.etracker.com,
fumie-ogura,Fumie Ogura,Pitz,2009,2015-02-17,http://www.bbk-muc-obb.de/galerie.html,
carola-mann,Carola Mann,Förg,2000,2015-01-14,http://www.carolamann.de,
paul-hiller,Paul Hiller,Bruch,2007,2015-01-12,http://www.paulmunich.de,
felix-kruis,Felix Kruis,Huber,2011,2015-01-10,http://www.felixkruis.com,
lucida-de-la-montagne,Lucida de la Montagne,Merz,2002,2014-12-29,http://www.etracker.com,
daniela-maerkl,Daniela Märkl,Hien,2008,2014-12-07,http://www.etracker.com,
maria-zillich,Maria Zillich,Rehm,2005,2014-11-30,http://www.etracker.com,
brigitte-stenzel,Brigitte Stenzel,Doberauer,2006,2014-11-13,http://www.brigitte-stenzel.de,
leon-vom-schwarzenberg,Leon vom Schwarzenberg,Bruch,2010,2014-11-07,http://www.etracker.com,
franziska-zoepfel,Franziska Zöpfel,Dillemuth,2007,2014-10-19,http://www.etracker.com,
silke-markefka,Silke Markefka,Förg,2002,2014-09-23,http://www.silkemarkefka.com,
juliana-maria-hermans,Juliana Maria Hermans,Hien,2010,2014-09-07,http://www.etracker.com,
ekaterina-puchinina,Ekaterina Puchinina,Förg,2012,2014-08-28,http://www.etracker.com,
zsanett-jeck,Zsanett Jeck,Doberauer,2008,2014-08-12,http://www.etracker.com,
franziska-schwarz,Franziska Schwarz,Magdalena Jetelova,2001,2014-08-09,http://www.etracker.com,
stefanie-hubner,Stefanie Hubner,Doberauer,2008,2014-07-27,http://www.malerei-hubner.de/,
thomas-breitenfeld,Thomas Breitenfeld,Prangenberg,2010,2014-07-25,http://www.thomas-breitenfeld.com,
tatjana-utz,Tatjana Utz,Scully,2001,2014-07-21,http://www.tatjana-utz.de/,
elena-baron,Elena Baron,Hien,2007,2014-07-20,http://www.etracker.com,
andreas-mutter,Andreas Mutter,Prangenberg,2008,2014-07-13,http://www.andreas-mutter.de,
anna-kluessendorf,Anna Klüssendorf,Kneffel,2003,2014-07-10,http://www.anna-klüssendorf.de/,
martin-goepfert,Martin Göpfert,Oehlen,2005,2014-06-14,http://www.xing.com/profile/Martin_Goepfert,
katrin-bertram,Katrin Bertram,Huber,2008,2014-06-05,http://www.katrinbertram.com,
lydia-thomas,Lydia Thomas,Doberauer,2009,2014-05-19,http://www.etracker.com,
beate-zollbrecht,Beate Zollbrecht,Magdalena Jetelova,2007,2014-05-10,http://www.etracker.com,
julia-beer,Julia Beer,Förg,2007,2014-05-09,http://www.etracker.com,
korbinian-jaud,Korbinian Jaud,Huber,2005,2014-04-19,http://www.korbinianjaud.com/,
christian-hoedl,Christian Hoedl,Otto Künzli,1999,2014-04-13,http://www.etracker.com,
karin-stiefler,Karin Stiefler,Kogler,2006,2014-04-07,http://www.etracker.com,
katharina-schmidmayer,Katharina Schmidmayer,Wähner,2003,2014-03-18,http://www.katharinaschmidmayer.de,
ulrike-riede,Ulrike Riede,Dengler,1996,2014-02-25,http://www.ulrikeriede.com,
heike-jobst,Heike Jobst,Pitz,2002,2014-02-13,http://www.heike-jobst.de,
johannes-tassilo-walter,Johannes Tassilo Walter,Oehlen,2008,2014-01-31,http://www.etracker.com,
raphael-samay,Raphael Samay,Kneffel,2011,2014-01-24,http://www.etracker.com,
julia-ziegelmaier,Julia Ziegelmaier,Scully,2002,2014-01-23,http://www.etracker.com,
okin-cznupolowsky,Okin Cznupolowsky,Oehlen,2009,2014-01-09,http://www.etracker.com,
stefanie-mueller,Stefanie Müller,Hien,2005,2014-01-02,http://www.etracker.com,
sun-ah,Sun-Ah,Kasseböhmer,2004,2013-12-18,http://www.etracker.com,
sebastian-rauscher,Sebastian Rauscher,Prangenberg,2004,2013-12-18,http://www.etracker.com,
julia-maria-entner,Julia Maria Entner,Wähner,2009,2013-12-13,http://www.etracker.com,
julia-buechting,Julia Büchting,Metzel,2011,2013-12-13,http://www.etracker.com,
miriam-schiran,Miriam Schiran,Jetelova,2001,2013-12-10,http://www.etracker.com,
tereza-hrabec,"Zuletzt aktualisierte Einträge, adbk München 12:16 MEZ",Baumschlager,,"",http://www.etracker.com,
sofia-arvaniti,Sofia Arvaniti,Förg,2005,2013-12-08,http://www.etracker.com,
artur-lesniewicz,Artur Lesniewicz,Oehlen,2011,2013-12-08,http://arturl.tumblr.com/,
jessica-treffler,Jessica Treffler,Schottenloher,2006,2013-12-06,http://www.frischkunst.de,
boris-maximov,Boris Maximov,Hien,2005,2013-12-04,http://www.etracker.com,
roland-burkart,Roland Burkart,Kogler,2010,2013-12-04,http://www.roland-burkart.net/,
paul-kotter,Paul Kotter,Hien,2006,2013-11-22,http://www.etracker.com,
luiza-taracha,Luiza Taracha,Prangenberg,2010,2013-11-03,http://www.etracker.com,
christian-muscheid,Christian Muscheid,Zeniuk,2003,2013-10-28,http://www.etracker.com,
yoojin-jang,Yoojin Jang,Oehlen,2011,2013-10-26,http://www.etracker.com,
felix-burger,"Zuletzt aktualisierte Einträge, adbk München 12:17 MEZ",Baumschlager,,"",http://www.etracker.com,
martin-blumoehr,Martin Blumöhr,Doberauer,2004,2013-10-14,http://WWW.MARTIN-BLUMOEHR.DE,
jonas-glotz,Jonas Glotz,http://www.klasse-waehner.de/doku.php?id=angehoerige:jonas_glotz,2005,2013-10-01,http://www.klasse-waehner.de/doku.php?id=angehoerige:jonas_glotz,
aurelie-dupin,Aurélie Dupin,Prangenberg,2005,2013-09-30,http://aureliedupin.com/,
sascha-wuillemet,Sascha Wuillemet,Doberauer,2003,2013-09-26,http://www.etracker.com,
johannes-n-seefried,Johannes N. Seefried,Zeniuk,2007,2013-09-20,http://www.Johannes-Seefried.de,
susanne-beurer,Susanne Beurer,Huber,2009,2013-09-20,http://www.etracker.com,
